,index,인원,수료,미수료,수료율,대분류,중분류,소분류
411,[e-호조] 보조금관리,16,13,2,0.8666666666666667,행정안전부,직무공통,재난
393,주민참여예산제도의 이해,19,13,2,0.8666666666666667,행정안전부,직무공통,정책
163,마음을 읽는 소통형 리더의 기술,198,168,26,0.865979381443299,행정안전부,직무공통,소양
168,Z세대 공감 프로젝트,184,155,24,0.8659217877094972,행정안전부,직무공통,소양
251,도시생태복원,71,58,9,0.8656716417910447,행정안전부,직무공통,소양
3,적극행정의 이해,12150,10044,1559,0.8656381970180126,행정안전부,직무공통,소양
18,개인정보보호법 이해하기,2747,2172,339,0.8649940262843488,행정안전부,직무공통,소양
83,다문화사회의 이해,615,505,79,0.8647260273972602,행정안전부,사회복지,인권
84,퇴직 전 알아야 할 자산관리 전략,582,482,76,0.8637992831541219,행정안전부,청렴,청렴
376,"(MOOC) 내 손으로 만드는 혁신, 리빙랩(Living Lab)",23,19,3,0.8636363636363636,행정안전부,직무공통,정책
51,부패앞에 단호해지기,1104,890,141,0.8632395732298739,행정안전부,직무공통,정책
25,이순신장군의 청렴리더십,2305,1869,298,0.8624826949700046,행정안전부,직무공통,정책
330,언론 및 미디어 대응,37,31,5,0.8611111111111112,행정안전부,직무공통,정책
113,사회복지 직무 길라잡이,367,299,49,0.8591954022988506,행정안전부,직무공통,소양
134,혁신성장과 8대 핵심선도사업,279,237,39,0.8586956521739131,행정안전부,직무공통,소양
